ano,clube,jogador,posicao,overall,jogos
2003,AD São Caetano (SP),Zé Carlos,Lateral,67,36
2003,AD São Caetano (SP),Dininho,Zagueiro,65,35
2003,AD São Caetano (SP),Gabriel,Zagueiro,55,3
2003,AD São Caetano (SP),Daniel da Silva,Zagueiro,55,4
2003,AD São Caetano (SP),Marcelo Mattos,Volante,63,30
2003,AD São Caetano (SP),Marcinho,Meia,75,40
2003,AD São Caetano (SP),Capixaba,Meia,69,39
2003,AD São Caetano (SP),Mateus Borges,Meia,64,23
2003,AD São Caetano (SP),Jales,Atacante,55,3
2003,Associação Atlética Ponte Preta,Lauro,Goleiro,66,31
2003,Associação Atlética Ponte Preta,Rafael Santos,Zagueiro,60,12
2003,Associação Atlética Ponte Preta,Ricardo Conceição,Volante,56,7
2003,Associação Atlética Ponte Preta,Reginaldo Vital,Meia,55,2
2003,Associação Atlética Ponte Preta,Rafael Marques,Atacante,74,1
2003,Associação Atlética Ponte Preta,Roger Silva,Atacante,61,16
2003,Atlético Paranaense,Diego,Goleiro,70,45
2003,Atlético Paranaense,Cléber,Goleiro,54,1
2003,Atlético Paranaense,Ivan,Lateral,67,40
2003,Atlético Paranaense,Alessandro,Lateral,65,36
2003,Atlético Paranaense,Capone,Lateral,58,14
2003,Atlético Paranaense,Rogerio Correa,Zagueiro,68,40
2003,Atlético Paranaense,Igor,Zagueiro,63,30
2003,Atlético Paranaense,Juliano Cavalheiro,Zagueiro,59,14
2003,Atlético Paranaense,Luciano Santos,Volante,67,38
2003,Atlético Paranaense,Fernandinho,Volante,66,29
2003,Atlético Paranaense,Rodriguinho,Volante,62,24
2003,Atlético Paranaense,Léomar,Volante,61,22
2003,Atlético Paranaense,Alan Bahia,Volante,60,20
2003,Atlético Paranaense,Douglas Silva,Volante,59,13
2003,Atlético Paranaense,Adriano Gabirú,Meia,69,32
2003,Atlético Paranaense,Fabrício,Meia,61,17
2003,Atlético Paranaense,Kléberson,Meia,58,12
2003,Atlético Paranaense,Alex Mineiro,Ponta,68,19
2003,Atlético Paranaense,Michel Bastos,Ponta,57,10
2003,Atlético Paranaense,Ilan,Atacante,79,30
2003,Atlético Paranaense,Dagoberto,Atacante,71,26
2003,Atlético Paranaense,Jadílson,Atacante,63,17
2003,Atlético Paranaense,Ricardinho,Atacante,62,21
2003,CR Flamengo,Júlio César,Goleiro,68,37
2003,CR Flamengo,Diego,Goleiro,59,10
2003,CR Flamengo,Athirson,Lateral,62,7
2003,CR Flamengo,Fabinho,Lateral,57,11
2003,CR Flamengo,Felipe Melo,Volante,55,2
2003,CR Flamengo,Jônatas,Meia,68,35
2003,CR Flamengo,Igor Cearense,Meia,68,33
2003,CR Flamengo,Vinícius Pacheco,Meia,56,8
2003,CR Flamengo,Fábio Baiano,Ponta,65,30
2003,Clube Atlético Mineiro,Cicinho,Lateral,67,38
2003,Clube Atlético Mineiro,Michel,Lateral,61,16
2003,Clube Atlético Mineiro,Rafael Scheidt,Zagueiro,65,35
2003,Clube Atlético Mineiro,André Luiz,Zagueiro,65,30
2003,Clube Atlético Mineiro,Neguete,Zagueiro,54,1
2003,Clube Atlético Mineiro,Marcelo Silva,Volante,65,33
2003,Clube Atlético Mineiro,Márcio Araújo,Volante,57,10
2003,Clube Atlético Mineiro,Lúcio Flávio,Meia,69,32
2003,Clube Atlético Mineiro,Juninho Arcanjo,Meia,64,26
2003,Clube Atlético Mineiro,Enrico,Meia,60,8
2003,Clube Atlético Mineiro,Lenílson,Meia,55,2
2003,Clube Atlético Mineiro,Paulinho,Atacante,69,30
2003,Clube Atlético Mineiro,Quirino,Atacante,60,12
2003,Clube Atlético Mineiro,Enílton,Atacante,55,2
2003,Clube de Regatas Vasco da Gama,Fábio,Goleiro,71,44
2003,Clube de Regatas Vasco da Gama,Edinho,Lateral,58,14
2003,Clube de Regatas Vasco da Gama,Gérson,Lateral,54,1
2003,Clube de Regatas Vasco da Gama,Wescley,Zagueiro,66,37
2003,Clube de Regatas Vasco da Gama,Wellington Monteiro,Volante,61,24
2003,Clube de Regatas Vasco da Gama,Ygor,Volante,60,20
2003,Clube de Regatas Vasco da Gama,Coutinho,Volante,56,8
2003,Clube de Regatas Vasco da Gama,Carlos Alberto,Volante,55,4
2003,Clube de Regatas Vasco da Gama,Morais,Meia,66,32
2003,Clube de Regatas Vasco da Gama,Cadu,Meia,65,15
2003,Clube de Regatas Vasco da Gama,Edmundo,Atacante,71,20
2003,Clube de Regatas Vasco da Gama,Souza,Atacante,65,13
2003,Clube de Regatas Vasco da Gama,Anderson Costa,Atacante,63,14
2003,Coritiba Foot Ball Club,Fernando Prass,Goleiro,70,42
2003,Coritiba Foot Ball Club,Fernando Vizzotto,Goleiro,55,2
2003,Coritiba Foot Ball Club,Adriano,Lateral,63,30
2003,Coritiba Foot Ball Club,Ceará,Lateral,62,25
2003,Coritiba Foot Ball Club,Lira,Lateral,60,19
2003,Coritiba Foot Ball Club,James Dens,Lateral,56,7
2003,Coritiba Foot Ball Club,Danilo Moreira,Zagueiro,64,27
2003,Coritiba Foot Ball Club,Edinho Baiano,Zagueiro,62,26
2003,Coritiba Foot Ball Club,Odvan,Zagueiro,62,26
2003,Coritiba Foot Ball Club,Reginaldo Nascimento,Volante,67,39
2003,Coritiba Foot Ball Club,Roberto Brum,Volante,66,39
2003,Coritiba Foot Ball Club,Willians,Volante,61,21
2003,Coritiba Foot Ball Club,Tcheco,Meia,70,25
2003,Coritiba Foot Ball Club,Jackson,Meia,67,37
2003,Coritiba Foot Ball Club,Souza,Meia,65,31
2003,Coritiba Foot Ball Club,Alexandre Fávaro,Meia,64,13
2003,Coritiba Foot Ball Club,Maurinho,Meia,60,14
2003,Coritiba Foot Ball Club,Pepo,Meia,59,16
2003,Coritiba Foot Ball Club,Marcel,Atacante,81,43
2003,Coritiba Foot Ball Club,Lima,Atacante,72,39
2003,Coritiba Foot Ball Club,Edu Sales,Atacante,71,39
2003,Coritiba Foot Ball Club,Marco Brito,Atacante,66,19
2003,Coritiba Foot Ball Club,Helinho,Atacante,60,14
2003,Criciúma Esporte Clube,Roberto Volpato,Goleiro,61,2
2003,Criciúma Esporte Clube,Jucemar,Lateral,55,3
2003,Criciúma Esporte Clube,Paulo Baier,Meia,71,31
2003,Criciúma Esporte Clube,Paulo César,Meia,64,23
2003,Criciúma Esporte Clube,Douglas,Meia,63,29
